"科目番号","科目名","授業方法","単位数","標準履修年次","実施学期","曜時限","教室","担当教員","授業概要","備考","科目等履修生申請可否","申請条件","短期留学生申請可否","申請条件","英語(日本語)科目名","科目コード","要件科目名","データ更新日"  
"6401102","情報リテラシー(演習)","2"," 1.0","1","春B","火3,4","学術情報メディアセンターB205","内田 匠","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","人文1班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:08"
"6401202","情報リテラシー(演習)","2"," 1.0","1","春B","火3,4","学術情報メディアセンターB206","山口 喜教","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","人文2班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:08"
"6402102","情報リテラシー(演習)","2"," 1.0","1","春B","木1,2","3D207","平田 俊明","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","比文1班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:08"
"6402202","情報リテラシー(演習)","2"," 1.0","1","春B","木1,2","1D301","岡本 健","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","比文2班, 日日対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6404102","情報リテラシー(演習)","2"," 1.0","1","春A","月5,6","学術情報メディアセンターA203","水野 一徳","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","社会1班, 国際1班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6404202","情報リテラシー(演習)","2"," 1.0","1","春A","月5,6","学術情報メディアセンターB205","小林 由幸","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","社会2班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6405102","情報リテラシー(演習)","2"," 1.0","1","春A","月5,6","学術情報メディアセンターB206","鵜飼 孝典","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","国際2班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6406102","情報リテラシー(演習)","2"," 1.0","1","春A","月3,4","学術情報メディアセンターB206","鵜飼 孝典","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","教育対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6407102","情報リテラシー(演習)","2"," 1.0","1","春A","月3,4","学術情報メディアセンターB205","本田 孝志","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","心理対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:58"
"6408102","情報リテラシー(演習)","2"," 1.0","1","春A","月3,4","1C206","若月 大輔","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","障害対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:55"
"6409102","情報リテラシー(演習)","2"," 1.0","1","春B","水1,2","学術情報メディアセンターB206","乾 孝司","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","生物2班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:59"
"6410102","情報リテラシー(演習)","2"," 1.0","1","春B","月5,6","学術情報メディアセンターB205","大滝 啓介","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","資源1班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:00"
"6410202","情報リテラシー(演習)","2"," 1.0","1","春B","月5,6","学術情報メディアセンターB206","芳賀 開一","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","資源2班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:58"
"6411102","情報リテラシー(演習)","2"," 1.0","1","春B","水1,2","学術情報メディアセンターB205","周 慧萍","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","地球, 生物1班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:54"
"6412102","情報リテラシー(演習)","2"," 1.0","1","春A","水1,2","3K203","冨安 洋史","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","数学対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:55"
"6413102","情報リテラシー(演習)","2"," 1.0","1","春A","水1,2","1D301","青木 一浩","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","物理対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:53"
"6414102","情報リテラシー(演習)","2"," 1.0","1","春A","水1,2","学術情報メディアセンターB206","加藤 狩夢","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","化学対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:55"
"6415102","情報リテラシー(演習)","2"," 1.0","1","春A","火3,4","学術情報メディアセンターB205","児島 宏明","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","応理1班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:59"
"6415202","情報リテラシー(演習)","2"," 1.0","1","春A","火3,4","学術情報メディアセンターB206","山口 喜教","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","応理2班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6416102","情報リテラシー(演習)","2"," 1.0","1","春A","火3,4","3L504","田中 文英","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","工シスA班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:57"
"6416202","情報リテラシー(演習)","2"," 1.0","1","春A","火3,4","1D301","Hassan Modar","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","工シスB班対象 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:57"
