"科目番号","科目名","授業方法","単位数","標準履修年次","実施学期","曜時限","教室","担当教員","授業概要","備考","科目等履修生申請可否","申請条件","短期留学生申請可否","申請条件","英語(日本語)科目名","科目コード","要件科目名","データ更新日"  
"6101101","情報リテラシー(講義)","1"," 1.0","1","春A","火3,4","1H101","山際 伸一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","人文対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:55:01"
"6102101","情報リテラシー(講義)","1"," 1.0","1","春A","木1,2","1D201","和田 耕一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","比文,日日対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:58"
"6104101","情報リテラシー(講義)","1"," 1.0","1","春B","月5,6","1H201","Bou Savong","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","社会,総学第1類C班対象 オンライン(対面併用型) 詳細はmanabaで確認すること． ","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-22 11:32:40"
"6105101","情報リテラシー(講義)","1"," 1.0","1","春B","月5,6","3A304","和田 耕一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","国際対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:58"
"6107101","情報リテラシー(講義)","1"," 1.0","1","春B","月3,4","3A304","額田 彰","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","心理, 障害対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-04-05 09:40:11"
"6109101","情報リテラシー(講義)","1"," 1.0","1","春A","水1,2","2B411","鎌田 祥一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","生物, 地球対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:55:01"
"6110101","情報リテラシー(講義)","1"," 1.0","1","春A","月5,6","2B411","片岸 一起","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","資源対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:56"
"6112101","情報リテラシー(講義)","1"," 1.0","1","春B","水1,2","1D201","鎌田 祥一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","数学, 化学対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:55:00"
"6115101","情報リテラシー(講義)","1"," 1.0","1","春B","火3,4","3A202","浅井 達哉","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","応理対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:56"
"6116101","情報リテラシー(講義)","1"," 1.0","1","春B","火3,4","3A403","田中 文英","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","工シス対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:57"
